system:index,date,field_id,mean,stdDev,.geo
20251014T165159_20251014T165439_T16TCK_0,2025-10-14,F1,0.19619089871301204,0.17775779164948421,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251014T165159_20251014T165439_T16TCK_1,2025-10-14,F2,0.43969598835272883,0.17588844610181698,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251016T164311_20251016T164612_T16TCK_0,2025-10-16,F1,0.18384023432986749,0.17529317576245781,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251016T164311_20251016T164612_T16TCK_1,2025-10-16,F2,0.4167973771687181,0.17152538975081044,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251019T165331_20251019T170215_T16TCK_0,2025-10-19,F1,0.22823909029806347,0.18900133669930103,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251019T165331_20251019T170215_T16TCK_1,2025-10-19,F2,0.47857396756124737,0.17878421050848012,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251021T164239_20251021T164345_T16TCK_0,2025-10-21,F1,0.04093657289094834,0.07692240626038536,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251021T164239_20251021T164345_T16TCK_1,2025-10-21,F2,0.026459224522331723,0.048686438819943265,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251031T164339_20251031T164342_T16TCK_0,2025-10-31,F1,0.21845413327436397,0.18240402328137878,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251031T164339_20251031T164342_T16TCK_1,2025-10-31,F2,0.4711712783497259,0.17657237102687348,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251031T165711_20251031T165710_T16TCK_0,2025-10-31,F1,0.21599290236360807,0.1834836856942954,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251031T165711_20251031T165710_T16TCK_1,2025-10-31,F2,0.4766803975196214,0.17956606806158795,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251103T165359_20251103T165353_T16TCK_0,2025-11-03,F1,0.22816787158645477,0.18394725002425852,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251103T165359_20251103T165353_T16TCK_1,2025-11-03,F2,0.4872462862963422,0.17708619123143596,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251105T164511_20251105T164509_T16TCK_0,2025-11-05,F1,0.19152408743684066,0.1688673596301544,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251105T164511_20251105T164509_T16TCK_1,2025-11-05,F2,0.42635050743734615,0.16284359590248335,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
20251110T164429_20251110T164427_T16TCK_0,2025-11-10,F1,0.21108432487702478,0.08574716559838327,"{""type"":""Polygon"",""coordinates"":[[[-88.995,40.505],[-88.985,40.505],[-88.985,40.515],[-88.995,40.51500000000001],[-88.995,40.505]]]}"
20251110T164429_20251110T164427_T16TCK_1,2025-11-10,F2,0.415117662290601,0.1340342087495851,"{""type"":""Polygon"",""coordinates"":[[[-88.975,40.505],[-88.965,40.505],[-88.965,40.515],[-88.975,40.515],[-88.975,40.505]]]}"
